frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len
14.582691000,10.0.0.2,10.0.0.1,34168,80,0x0002,74
14.582717000,10.0.0.1,10.0.0.2,80,34168,0x0012,74
14.582746000,10.0.0.2,10.0.0.1,34168,80,0x0010,66
14.583682000,10.0.0.2,10.0.0.1,34168,80,0x0018,138
14.583754000,10.0.0.1,10.0.0.2,80,34168,0x0010,66
14.584792000,10.0.0.1,10.0.0.2,80,34168,0x0018,223
14.584868000,10.0.0.2,10.0.0.1,34168,80,0x0010,66
14.584929000,10.0.0.1,10.0.0.2,80,34168,0x0018,1640
14.584946000,10.0.0.2,10.0.0.1,34168,80,0x0010,66
14.584999000,10.0.0.1,10.0.0.2,80,34168,0x0011,66
14.593397000,10.0.0.2,10.0.0.1,34168,80,0x0011,66
14.593450000,10.0.0.1,10.0.0.2,80,34168,0x0010,66
14.611959000,10.0.0.2,10.0.0.1,34182,80,0x0002,74
14.611985000,10.0.0.1,10.0.0.2,80,34182,0x0012,74
14.612014000,10.0.0.2,10.0.0.1,34182,80,0x0010,66
14.614360000,10.0.0.2,10.0.0.1,34182,80,0x0018,138
14.614386000,10.0.0.1,10.0.0.2,80,34182,0x0010,66
14.626494000,10.0.0.1,10.0.0.2,80,34182,0x0018,223
14.626580000,10.0.0.2,10.0.0.1,34182,80,0x0010,66
14.627524000,10.0.0.1,10.0.0.2,80,34182,0x0018,1640
14.627606000,10.0.0.2,10.0.0.1,34182,80,0x0010,66
14.640581000,10.0.0.2,10.0.0.1,34182,80,0x0011,66
14.644516000,10.0.0.1,10.0.0.2,80,34182,0x0011,66
14.644600000,10.0.0.2,10.0.0.1,34182,80,0x0010,66
14.673171000,10.0.0.2,10.0.0.1,34188,80,0x0002,74
14.673199000,10.0.0.1,10.0.0.2,80,34188,0x0012,74
14.673226000,10.0.0.2,10.0.0.1,34188,80,0x0010,66
14.675785000,10.0.0.2,10.0.0.1,34188,80,0x0018,138
14.676219000,10.0.0.1,10.0.0.2,80,34188,0x0010,66
14.680831000,10.0.0.1,10.0.0.2,80,34188,0x0018,223
14.680907000,10.0.0.2,10.0.0.1,34188,80,0x0010,66
14.680969000,10.0.0.1,10.0.0.2,80,34188,0x0018,1640
14.680981000,10.0.0.2,10.0.0.1,34188,80,0x0010,66
14.681041000,10.0.0.1,10.0.0.2,80,34188,0x0011,66
14.683243000,10.0.0.2,10.0.0.1,34188,80,0x0011,66
14.683695000,10.0.0.1,10.0.0.2,80,34188,0x0010,66
14.709315000,10.0.0.2,10.0.0.1,34196,80,0x0002,74
14.709341000,10.0.0.1,10.0.0.2,80,34196,0x0012,74
14.709368000,10.0.0.2,10.0.0.1,34196,80,0x0010,66
14.710964000,10.0.0.2,10.0.0.1,34196,80,0x0018,138
14.711061000,10.0.0.1,10.0.0.2,80,34196,0x0010,66
14.714383000,10.0.0.1,10.0.0.2,80,34196,0x0018,223
14.714689000,10.0.0.2,10.0.0.1,34196,80,0x0010,66
14.714759000,10.0.0.1,10.0.0.2,80,34196,0x0018,1640
14.714773000,10.0.0.2,10.0.0.1,34196,80,0x0010,66
14.714836000,10.0.0.1,10.0.0.2,80,34196,0x0011,66
14.716795000,10.0.0.2,10.0.0.1,34196,80,0x0011,66
14.716844000,10.0.0.1,10.0.0.2,80,34196,0x0010,66
14.734162000,10.0.0.2,10.0.0.1,34202,80,0x0002,74
14.734189000,10.0.0.1,10.0.0.2,80,34202,0x0012,74
14.734217000,10.0.0.2,10.0.0.1,34202,80,0x0010,66
14.738897000,10.0.0.2,10.0.0.1,34202,80,0x0018,138
14.738927000,10.0.0.1,10.0.0.2,80,34202,0x0010,66
14.742655000,10.0.0.1,10.0.0.2,80,34202,0x0018,223
14.742711000,10.0.0.2,10.0.0.1,34202,80,0x0010,66
14.742818000,10.0.0.1,10.0.0.2,80,34202,0x0018,1640
14.742836000,10.0.0.2,10.0.0.1,34202,80,0x0010,66
14.743208000,10.0.0.2,10.0.0.1,34202,80,0x0011,66
14.745581000,10.0.0.1,10.0.0.2,80,34202,0x0011,66
14.745639000,10.0.0.2,10.0.0.1,34202,80,0x0010,66
14.763336000,10.0.0.2,10.0.0.1,34210,80,0x0002,74
14.763364000,10.0.0.1,10.0.0.2,80,34210,0x0012,74
14.763391000,10.0.0.2,10.0.0.1,34210,80,0x0010,66
14.767857000,10.0.0.2,10.0.0.1,34210,80,0x0018,138
14.767887000,10.0.0.1,10.0.0.2,80,34210,0x0010,66
14.768834000,10.0.0.1,10.0.0.2,80,34210,0x0018,223
14.768880000,10.0.0.1,10.0.0.2,80,34210,0x0010,1514
14.768919000,10.0.0.1,10.0.0.2,80,34210,0x0019,192
14.769057000,10.0.0.2,10.0.0.1,34210,80,0x0010,66
14.769359000,10.0.0.2,10.0.0.1,34210,80,0x0011,66
14.769377000,10.0.0.1,10.0.0.2,80,34210,0x0010,66
14.794879000,10.0.0.2,10.0.0.1,34214,80,0x0002,74
14.794912000,10.0.0.1,10.0.0.2,80,34214,0x0012,74
14.794943000,10.0.0.2,10.0.0.1,34214,80,0x0010,66
14.800854000,10.0.0.2,10.0.0.1,34214,80,0x0018,138
14.800881000,10.0.0.1,10.0.0.2,80,34214,0x0010,66
14.801969000,10.0.0.1,10.0.0.2,80,34214,0x0018,223
14.802025000,10.0.0.2,10.0.0.1,34214,80,0x0010,66
14.802671000,10.0.0.1,10.0.0.2,80,34214,0x0018,1640
14.802708000,10.0.0.2,10.0.0.1,34214,80,0x0010,66
14.803446000,10.0.0.2,10.0.0.1,34214,80,0x0011,66
14.805611000,10.0.0.1,10.0.0.2,80,34214,0x0011,66
14.805679000,10.0.0.2,10.0.0.1,34214,80,0x0010,66
14.828293000,10.0.0.2,10.0.0.1,34228,80,0x0002,74
14.828328000,10.0.0.1,10.0.0.2,80,34228,0x0012,74
14.828360000,10.0.0.2,10.0.0.1,34228,80,0x0010,66
14.833352000,10.0.0.2,10.0.0.1,34228,80,0x0018,138
14.833387000,10.0.0.1,10.0.0.2,80,34228,0x0010,66
14.835670000,10.0.0.1,10.0.0.2,80,34228,0x0018,223
14.835727000,10.0.0.2,10.0.0.1,34228,80,0x0010,66
14.835822000,10.0.0.1,10.0.0.2,80,34228,0x0018,1640
14.835840000,10.0.0.2,10.0.0.1,34228,80,0x0010,66
14.837370000,10.0.0.2,10.0.0.1,34228,80,0x0011,66
14.839371000,10.0.0.1,10.0.0.2,80,34228,0x0011,66
14.839428000,10.0.0.2,10.0.0.1,34228,80,0x0010,66
14.859255000,10.0.0.2,10.0.0.1,34236,80,0x0002,74
14.859293000,10.0.0.1,10.0.0.2,80,34236,0x0012,74
14.859328000,10.0.0.2,10.0.0.1,34236,80,0x0010,66
14.860520000,10.0.0.2,10.0.0.1,34236,80,0x0018,138
14.860565000,10.0.0.1,10.0.0.2,80,34236,0x0010,66
14.862765000,10.0.0.1,10.0.0.2,80,34236,0x0018,223
14.862843000,10.0.0.1,10.0.0.2,80,34236,0x0010,1514
14.862905000,10.0.0.1,10.0.0.2,80,34236,0x0019,192
14.863090000,10.0.0.2,10.0.0.1,34236,80,0x0010,66
14.863369000,10.0.0.2,10.0.0.1,34236,80,0x0011,66
14.863386000,10.0.0.1,10.0.0.2,80,34236,0x0010,66
14.887481000,10.0.0.2,10.0.0.1,34250,80,0x0002,74
14.887532000,10.0.0.1,10.0.0.2,80,34250,0x0012,74
14.887575000,10.0.0.2,10.0.0.1,34250,80,0x0010,66
14.889051000,10.0.0.2,10.0.0.1,34250,80,0x0018,138
14.889074000,10.0.0.1,10.0.0.2,80,34250,0x0010,66
14.893659000,10.0.0.1,10.0.0.2,80,34250,0x0018,223
14.893749000,10.0.0.2,10.0.0.1,34250,80,0x0010,66
14.893798000,10.0.0.1,10.0.0.2,80,34250,0x0018,1640
14.893810000,10.0.0.2,10.0.0.1,34250,80,0x0010,66
14.893858000,10.0.0.1,10.0.0.2,80,34250,0x0011,66
14.897378000,10.0.0.2,10.0.0.1,34250,80,0x0011,66
14.897408000,10.0.0.1,10.0.0.2,80,34250,0x0010,66
14.924195000,10.0.0.2,10.0.0.1,34262,80,0x0002,74
14.924238000,10.0.0.1,10.0.0.2,80,34262,0x0012,74
14.924268000,10.0.0.2,10.0.0.1,34262,80,0x0010,66
14.929592000,10.0.0.2,10.0.0.1,34262,80,0x0018,138
14.929620000,10.0.0.1,10.0.0.2,80,34262,0x0010,66
14.931465000,10.0.0.1,10.0.0.2,80,34262,0x0018,223
14.931549000,10.0.0.2,10.0.0.1,34262,80,0x0010,66
14.931695000,10.0.0.1,10.0.0.2,80,34262,0x0018,1640
14.931714000,10.0.0.2,10.0.0.1,34262,80,0x0010,66
14.931780000,10.0.0.1,10.0.0.2,80,34262,0x0011,66
14.932388000,10.0.0.2,10.0.0.1,34262,80,0x0011,66
14.932406000,10.0.0.1,10.0.0.2,80,34262,0x0010,66
14.954687000,10.0.0.2,10.0.0.1,34274,80,0x0002,74
14.954719000,10.0.0.1,10.0.0.2,80,34274,0x0012,74
14.954751000,10.0.0.2,10.0.0.1,34274,80,0x0010,66
14.963529000,10.0.0.2,10.0.0.1,34274,80,0x0018,138
14.963556000,10.0.0.1,10.0.0.2,80,34274,0x0010,66
14.964528000,10.0.0.1,10.0.0.2,80,34274,0x0018,223
14.964581000,10.0.0.1,10.0.0.2,80,34274,0x0010,1514
14.964623000,10.0.0.1,10.0.0.2,80,34274,0x0019,192
14.964825000,10.0.0.2,10.0.0.1,34274,80,0x0010,66
14.965091000,10.0.0.2,10.0.0.1,34274,80,0x0011,66
14.965106000,10.0.0.1,10.0.0.2,80,34274,0x0010,66
14.987299000,10.0.0.2,10.0.0.1,34280,80,0x0002,74
14.987327000,10.0.0.1,10.0.0.2,80,34280,0x0012,74
14.987356000,10.0.0.2,10.0.0.1,34280,80,0x0010,66
14.988719000,10.0.0.2,10.0.0.1,34280,80,0x0018,138
14.988743000,10.0.0.1,10.0.0.2,80,34280,0x0010,66
14.992833000,10.0.0.1,10.0.0.2,80,34280,0x0018,223
14.992894000,10.0.0.2,10.0.0.1,34280,80,0x0010,66
14.993021000,10.0.0.1,10.0.0.2,80,34280,0x0018,1640
14.993033000,10.0.0.2,10.0.0.1,34280,80,0x0010,66
14.993124000,10.0.0.1,10.0.0.2,80,34280,0x0011,66
14.994384000,10.0.0.2,10.0.0.1,34280,80,0x0011,66
14.994409000,10.0.0.1,10.0.0.2,80,34280,0x0010,66
15.017117000,10.0.0.2,10.0.0.1,34292,80,0x0002,74
15.017150000,10.0.0.1,10.0.0.2,80,34292,0x0012,74
15.017181000,10.0.0.2,10.0.0.1,34292,80,0x0010,66
